2669,motel,17
5572,fistfight,17
14765,church,17
6255,insanity,17
1589,sniper,17
3688,strip club,17
10873,school,17
1803,drug addiction,17
456,mother,17
12396,hollywood,17
160488,hoodlum,17
3836,success,17
796,police brutality,17
158718,lgbt,17
10556,male female relationship,17
5923,sister,17
270,ocean,16
911,exotic island,16
6155,afterlife,16
853,crime fighter,16
13015,terrorism,16
4959,death of a friend,16
13008,train,16
18165,animal,16
1160,egypt,16
4152,kingdom,16
10468,bear,16
2095,anti hero,16
1436,inventor,16
1262,mountains,16
9935,travel,16
3071,prince,16
3344,letter,16
231407,fang vamp,16
3593,wilderness,16
6110,weapon,16
3335,halloween,16
128,love triangle,16
2157,hacker,16
444,taxi,16
3358,haunted house,16
534,mexico,16
167043,road movie,16
10229,singer,16
15090,police officer,16
8181,swimming pool,16
516,child abuse,16
2389,virgin,16
9887,surrealism,16
3012,court case,16
898,hip-hop,16
1706,experiment,15
6956,treasure hunt,15
208289,1980s,15
3289,villain,15
1432,nasa,15
5248,female friendship,15
9920,royalty,15
14570,las vegas,15
1459,marriage proposal,15
822,airport,15
531,southern usa,15
2149,drug traffic,15
1421,birthday,15
917,journalism,15
3450,bridge,15
11578,mobster,15
339,submarine,15
1563,prisoner,15
2564,wheelchair,15
4129,widow,15
1599,midlife crisis,15
3182,seduction,15
828,waitress,15
4183,wife,15
1463,culture clash,14
2580,shipwreck,14
12988,pirate,14
7002,vigilante,14
10629,vision,14
33885,car,14
12332,apocalypse,14
305,moon,14
13073,fear,14
10291,organized crime,14
5905,father,14
11477,talking animal,14
4978,immortality,14
1261,river,14
2792,boxer,14
2546,mask,14
33648,celebration,14
1400,swordplay,14
1402,general,14
3070,mercenary,14
3036,bible,14
157499,mother son relationship,14
1583,mass murder,14
18420,surveillance,14
1321,gold,14
6089,freedom,14
33705,agent,14
1533,isolation,14
131,italy,14
801,bounty hunter,14
11001,religion,14
738,sexuality,14
33626,millionaire,14
14768,single mother,14
9957,loneliness,14
699,love at first sight,14
10937,memory,14
4197,bite,14
208349,child,14
10325,mistaken identity,14
395,gambling,14
2150,cocaine,14
1332,cheating,14
10738,diner,14
10181,based on play,14
11870,teen movie,14
34117,cult film,14
4048,musician,14
