271110,Anthony Mackie,Sam Wilson / Falcon
44833,Taylor Kitsch,Lieutenant Alex Hopper
44833,Alexander Skarsgård,Commander Stone Hopper
44833,Rihanna,Petty Officer Cora 'Weps' Raikes
44833,Brooklyn Decker,Sam
44833,Tadanobu Asano,Captain Yugi Nagata
135397,Chris Pratt,Owen Grady
135397,Bryce Dallas Howard,Claire Dearing
135397,Irrfan Khan,Simon Masrani
135397,Vincent D'Onofrio,Vic Hoskins
135397,Nick Robinson,Zach Mitchell
37724,Daniel Craig,James Bond
37724,Judi Dench,M
37724,Javier Bardem,Silva
37724,Ralph Fiennes,Gareth Mallory / M
37724,Naomie Harris,Eve
558,Tobey Maguire,Peter Parker / Spider-Man
558,Kirsten Dunst,Mary Jane Watson
558,James Franco,Harry Osborn
558,Alfred Molina,Dr. Otto Octavius / Doctor Octopus
558,Rosemary Harris,May Parker
68721,Robert Downey Jr.,Tony Stark / Iron Man
68721,Gwyneth Paltrow,"Virginia ""Pepper"" Potts"
68721,Don Cheadle,"Colonel James "" Rhodey"" Rhodes"
68721,Guy Pearce,Aldrich Killian / The Mandarin
68721,Rebecca Hall,Maya Hansen
12155,Mia Wasikowska,Alice Kingsleigh
12155,Johnny Depp,The Mad Hatter
12155,Anne Hathaway,The White Queen
12155,Helena Bonham Carter,The Red Queen
12155,Crispin Glover,The Knave of Hearts
36668,Hugh Jackman,Logan / Wolverine
36668,Halle Berry,Ororo Munroe / Storm
36668,Ian McKellen,Eric Lehnsherr / Magneto
36668,Patrick Stewart,Charles Xavier / Professor X
36668,Famke Janssen,Jean Grey / Phoenix
62211,Billy Crystal,"Michael ""Mike"" Wazowski (voice)"
62211,John Goodman,"James P. ""Sulley"" Sullivan (voice)"
62211,Steve Buscemi,Randall Boggs (voice)
62211,Helen Mirren,Dean Hardscrabble (voice)
62211,Noah Johnston,Young Mike (voice)
8373,Shia LaBeouf,Sam Witwicky
8373,Megan Fox,Mikaela Banes
8373,Josh Duhamel,Captain Lennox
8373,Rainn Wilson,College Professor
8373,Tyrese Gibson,USAF Tech Sergeant Epps
91314,Mark Wahlberg,Cade Yeager
91314,Stanley Tucci,Joshua
91314,Kelsey Grammer,Harold Attinger
91314,Nicola Peltz,Tessa Yeager
91314,Jack Reynor,Shane
68728,James Franco,Oz
68728,Mila Kunis,Theodora
68728,Rachel Weisz,Evanora
68728,Michelle Williams,Annie / Glinda
68728,Zach Braff,Frank / Finley
102382,Andrew Garfield,Peter Parker / Spider-Man
102382,Emma Stone,Gwen Stacy
102382,Jamie Foxx,Max Dillon / Electro
102382,Dane DeHaan,Harry Osborn / Green Goblin
102382,Campbell Scott,Richard Parker
20526,Garrett Hedlund,Sam Flynn
20526,Jeff Bridges,Kevin Flynn / Clu
20526,Olivia Wilde,Quorra
20526,Bruce Boxleitner,Alan Bradley / Tron
20526,Yaya DaCosta,Siren
49013,Owen Wilson,Lightning McQueen (voice)
49013,Larry the Cable Guy,Mater (voice)
49013,Michael Caine,Finn McMissile (voice)
49013,Emily Mortimer,Holley Shiftwell (voice)
49013,John Turturro,Francesco Bernoulli (voice)
44912,Ryan Reynolds,Hal Jordan / Green Lantern
44912,Blake Lively,Carol Ferris
44912,Peter Sarsgaard,Hector Hammond
44912,Tim Robbins,Senator Hammond
44912,Mark Strong,Sinestro
10193,Tom Hanks,Woody (voice)
10193,Tim Allen,Buzz Lightyear (voice)
10193,Ned Beatty,Lotso (voice)
10193,Joan Cusack,Jessie the Yodeling Cowgirl (voice)
10193,Michael Keaton,Ken (voice)
534,Christian Bale,John Connor
534,Sam Worthington,Marcus Wright
534,Anton Yelchin,Kyle Reese
534,Moon Bloodgood,Blair Williams
534,Bryce Dallas Howard,Kate Connor
168259,Vin Diesel,Dominic Toretto
168259,Paul Walker,Brian O'Conner
168259,Dwayne Johnson,Hobbs
168259,Michelle Rodriguez,Letty
168259,Tyrese Gibson,Roman
72190,Brad Pitt,Gerry Lane
72190,Mireille Enos,Karen Lane
72190,Abigail Hargrove,Rachel Lane
72190,Sterling Jerins,Constance Lane
72190,James Badge Dale,Captain Speke
127585,Hugh Jackman,Logan / Wolverine
127585,James McAvoy,Charles Xavier / Professor X (Young)
127585,Michael Fassbender,Erik Lehnsherr / Magneto (Young)
127585,Jennifer Lawrence,Raven Darkholme / Mystique
127585,Halle Berry,Ororo Munroe / Storm
54138,Chris Pine,James T. Kirk
54138,Zachary Quinto,Spock
54138,Zoe Saldana,Nyota Uhura
54138,Karl Urban,Dr. Leonard 'Bones' McCoy
54138,Simon Pegg,Montgomery 'Scotty' Scott
81005,Nicholas Hoult,Jack
81005,Eleanor Tomlinson,Princess Isabelle
81005,Ewan McGregor,Elmont
81005,Stanley Tucci,Roderick
81005,Ian McShane,King Brahmwell
64682,Leonardo DiCaprio,Jay Gatsby
64682,Tobey Maguire,Nick Carraway
64682,Carey Mulligan,Daisy Buchanan
64682,Joel Edgerton,Tom Buchanan
64682,Elizabeth Debicki,Jordan Baker
9543,Jake Gyllenhaal,Prince Dastan
9543,Gemma Arterton,Tamina
9543,Ben Kingsley,Nizam
9543,Alfred Molina,Sheik Amar
9543,Steve Toussaint,Seso
68726,Idris Elba,Stacker Pentecost
68726,Charlie Hunnam,Raleigh Becket
68726,Charlie Day,Dr. Newton Geiszler
68726,Ron Perlman,Hannibal Chau
68726,Burn Gorman,Gottlieb
38356,Shia LaBeouf,Sam Witwicky
38356,John Malkovich,Bruce Brazos
38356,Ken Jeong,Jerry Wang
38356,Frances McDormand,National Intelligence Director
